objectid,description,identifier,latitude,longitude
9446,16th St & Irvington Ave,51477,39.788945,-86.077534
8465,Perkins Ave & Carpenter Ct,12640,39.742839,-86.111477
8028,Redfern Dr & Strawbridge St,11899,39.700692,-86.098565
8512,US 31 & Southport Rd,12968,39.665,-86.147448
7815,10th St & Vinewood Ave,11065,39.779752,-86.265698
8936,Washington St & Audubon Rd,50706,39.770888,-86.070076
8152,27th St & Annette St,12202,39.805576,-86.175626
9594,30th St & Ethel Ave,51807,39.810143,-86.168964
8320,Morris St & Pershing Ave,12428,39.750946,-86.199337
8063,16th St & Rochester Ave,12018,39.78781,-86.22104
8831,16th St & College Ave,50536,39.788546,-86.145054
8584,Arlington Ave & 45th St,50073,39.839424,-86.064918
8175,34th St & Winton Ave,12228,39.816654,-86.246301
7197,38th St & Dequincy St,10064,39.825563,-86.087671
8965,Washington St & Highland Ave,50741,39.76702,-86.138306
8715,Clifton St & 34th St,50360,39.815306,-86.180575
8014,Keystone Ave & Troy Ave,11883,39.722808,-86.120862
9470,Western Select & Shadeland Ave,51516,39.804017,-86.044956
7527,Alabama St & Michigan St,10608,39.773539,-86.152485
9462,Massachusetts Ave & Edison St,51506,39.778372,-86.144372
7750,Girls School Rd & 10th St,10982,39.778591,-86.289293
8924,Washington St & Mitchner Ave,50694,39.772727,-86.034453
10339,Emerson Ave & Rosegate,53327,39.656495,-86.08255
10259,Troy Ave & Brill Rd,53226,39.722481,-86.154096
10215,Southeastern Ave - 4013 S,53117,39.750727,-86.094403
9776,Central Ave & 36th St,52228,39.820803,-86.149689
9274,Arlington Ave & 39th St,51174,39.827728,-86.064733
9245,Ellenberger Park - Michigan St,51136,39.77496,-86.078995
7696,16th St & Whitcomb Ave,10920,39.787234,-86.256459
7683,10th St & Centennial St,10898,39.780634,-86.213346
9667,16th St & Ridgeview Dr,51905,39.789055,-86.057607
8310,Oliver Ave & Holly Ave,12417,39.758617,-86.178666
10070,Lafayette Rd - 3094 N,52810,39.811341,-86.222382
8735,18th St & Montcalm St,50385,39.791209,-86.180267
9073,Wash-Harding Non Public Stop,50887,39.76653,-86.188202
7735,Cunningham Rd & Clark Rd,10962,39.793573,-86.26178
9896,Harcourt Rd & Private Dr,52512,39.904377,-86.193601
7600,E Washington  St - Sam's Club,10791,39.77498,-85.974267
10521,Troy Station NB,70051,39.723187,-86.139527
9021,Washington St & Alton Ave,50810,39.763179,-86.217
8610,Shadeland Ave & Private Dr - Hillside Tech Center,50105,39.896701,-86.046192
8309,Oliver Ave & White River Pkwy W Dr,12415,39.758617,-86.175881
7711,High School Rd & Thistle Dr,10936,39.814592,-86.270049
