X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.1472159998974,39.8251589996112,7220,38th St & Park Ave,10096,39.825159,-86.147216
-86.1500890003115,39.8251189995647,7221,38th St & Central Ave,10098,39.825119,-86.150089
-86.1531360005063,39.8250679997447,7222,38th St & Delaware St,10100,39.825068,-86.153136
-86.1574339997505,39.7959919997056,7223,Meridian St & McLean Pl,10116,39.795992,-86.157434
-86.1574190004745,39.7934440002306,7224,Meridian St & 20th St,10117,39.793444,-86.157419
-86.1574199998118,39.792126000315,7225,Meridian St & 19th St,10118,39.792126,-86.15742
-86.1573760005484,39.7908639999139,7226,Meridian St & 18th St,10119,39.790864,-86.157376
-86.1573859998528,39.787778000035,7227,Meridian St & 16th St,10120,39.787778,-86.157386
-86.1575510000272,39.7839340001046,7228,Meridian St & 13th St,10122,39.783934,-86.157551
-86.1576319996795,39.7812870001714,7229,Meridian St & 10th St,10124,39.781287,-86.157632
-86.1577410003074,39.778142999581,7230,Meridian St & Saint Clair St,10125,39.778143,-86.157741
-86.1578520005324,39.7757160003899,7231,Meridian St & North St,10127,39.775716,-86.157852
-86.1579250002113,39.7724869996789,7232,Meridian St & Vermont St,10129,39.772487,-86.157925
-86.1565839998695,39.7655749997217,7233,Maryland St & Pennsylvania St,10133,39.765575,-86.156584
-86.1576819995428,39.7699350001819,7234,Ohio St & Meridian St,10136,39.769935,-86.157682
-86.1577900003136,39.7730039998801,7235,Meridian St & Vermont St,10137,39.773004,-86.15779
-86.1576780001252,39.7758570002988,7236,Meridian St & North St,10139,39.775857,-86.157678
-86.1576180000693,39.7778220002246,7237,Meridian St & Saint Clair St,10141,39.777822,-86.157618
-86.1574470001946,39.7821549996,7238,Meridian St & 11th St,10143,39.782155,-86.157447
-86.157353000334,39.7842090001229,7239,Meridian St & 13th St,10144,39.784209,-86.157353
-86.157205000115,39.7878749999004,7240,Meridian St & 16th St,10146,39.787875,-86.157205
-86.1572320000093,39.7906659996269,7241,Meridian St & 18th St,10147,39.790666,-86.157232
-86.1572580000238,39.7938319996672,7242,Meridian St & 20th St,10149,39.793832,-86.157258
-86.157318000467,39.7955630002395,7243,Meridian St & 21st St,10150,39.795563,-86.157318
-86.1284400003861,39.825360999583,7244,38th St & Orchard Ave,10167,39.825361,-86.12844
-86.1259660005358,39.8253660002839,7245,38th St & Caroline Ave,10169,39.825366,-86.125966
-86.1233089994613,39.8253269997959,7246,38th St & Hillside  Ave,10171,39.825327,-86.123309
-86.1210730000693,39.8252499995704,7247,38th St & Keystone Ave,10172,39.82525,-86.121073
-86.1185629999665,39.8252880002323,7248,38th St & Temple Ave,10173,39.825288,-86.118563
-86.116943000053,39.8252829997059,7249,38th St & Rural St,10174,39.825283,-86.116943
-86.1153190001898,39.8252859999031,7250,38th St & Oxford St,10175,39.825286,-86.115319
-86.11360299992,39.8252960003804,7251,38th St & Parker Ave,10176,39.825296,-86.113603
-86.110089000011,39.8252900002235,7252,38th St & Lasalle St,10178,39.82529,-86.110089
-86.1084910002755,39.8252930000175,7253,38th St & Adams St,10179,39.825293,-86.108491
-86.1058839999733,39.8252920002395,7254,38th St & Gale St,10181,39.825292,-86.105884
-86.1045030003304,39.8252839998657,7255,38th St & Station St,10182,39.825284,-86.104503
-86.1024019996752,39.8252939998488,7256,38th St & Sherman Dr,10183,39.825294,-86.102402
-86.1003660005048,39.8253210000305,7257,38th St & Chester Ave,10184,39.825321,-86.100366
-86.0981369994508,39.8253600002392,7258,38th St & Forest Manor Ave,10187,39.82536,-86.098137
-86.0961219994643,39.8253760001522,7259,38th St & Gladstone Ave,10188,39.825376,-86.096122
-86.0939219999512,39.8253970003306,7260,38th St & Linwood Ave,10189,39.825397,-86.093922
-86.0909780003186,39.825432999683,7261,38th St & Arthington Blvd,10191,39.825433,-86.090978
-86.0879839997536,39.8254549995771,7262,38th St & Dequincy St,10193,39.825455,-86.087984
-86.0852740005051,39.8254759996671,7263,38th St & Bancroft St,10195,39.825476,-86.085274
-86.082980999913,39.8254509999279,7264,38th St & Emerson Ave,10196,39.825451,-86.082981
-86.0804279998396,39.8254270003549,7265,38th St & Butler Ave,10198,39.825427,-86.080428
-86.0752839996609,39.8254009996662,7266,38th St & Whittier Pl,10201,39.825401,-86.075284
-86.0732009995661,39.8253869998612,7267,38th St & Layman Ave,10202,39.825387,-86.073201
-86.0696580004483,39.8254069995953,7268,38th St & Graham Ave,10205,39.825407,-86.069658
-86.0666989996831,39.8254039996523,7269,38th St & Bolton Ave,10206,39.825404,-86.066699
-86.0642469998115,39.8254529996255,7270,38th St & Arlington Ave,10207,39.825453,-86.064247
-86.0601089998823,39.8254619997098,7271,38th St & Sheridan Ave,10208,39.825462,-86.060109
-86.0520109994364,39.8256589999088,7272,38th St & Elizabeth St,10209,39.825659,-86.052011
-86.0489519997992,39.8256700001936,7273,38th St & Massachusetts Ave,10210,39.82567,-86.048952
-86.0454169997326,39.8256869996573,7274,38th St & Shadeland Ave,10211,39.825687,-86.045417
-86.0436399996162,39.8256790003326,7275,38th St & Whenner Dr,10212,39.825679,-86.04364
-86.0403859996051,39.8256779995993,7276,38th St & Kercheval Dr,10213,39.825678,-86.040386
-86.0365869999468,39.8256709997957,7277,38th St & Richardt St,10215,39.825671,-86.036587
-86.0347499995911,39.8256629997491,7278,38th St - 7900 E,10216,39.825663,-86.03475
-86.0268419999762,39.8263310003838,7279,Franklin Rd & 38th St,10217,39.826331,-86.026842
-86.0269039998875,39.8287349996848,7280,Franklin Rd - Sports Center,10218,39.828735,-86.026904
-86.0266410003781,39.8329439999186,7281,42nd St & Franklin Rd,10219,39.832944,-86.026641
-86.0229400003259,39.8332520004089,7282,42nd St & Arborcrest Dr,10220,39.833252,-86.02294
-86.0196110003819,39.8332899999774,7283,42nd St & Aspen Way,10222,39.83329,-86.019611
-86.0161459995519,39.8333059996051,7284,42nd St & Private Dr-Missionary Christian Church,10224,39.833306,-86.016146
-86.0121540004834,39.8333040000304,7285,42nd St & Biscayne Rd,10226,39.833304,-86.012154
-86.0105879999611,39.8333009997955,7286,42nd St & Post Rd,10227,39.833301,-86.010588
-86.0082480000373,39.8333379998246,7287,42nd St & Torino Ct,10228,39.833338,-86.008248
-86.0058629996989,39.8334110003781,7288,42nd St & Mount Vernon Ct,10229,39.833411,-86.005863
-86.0030140002946,39.833427000137,7289,42nd St & Cordell St,10230,39.833427,-86.003014
-85.9999129999203,39.8334909997386,7290,42nd St & Baker Dr,10231,39.833491,-85.999913
-85.9975599999416,39.8335279998806,7291,42nd St & Burrwood Dr,10232,39.833528,-85.99756
-85.9914350004919,39.8336139997783,7292,42nd St & Mitthoefer Rd,10233,39.833614,-85.991435
-85.9912240000088,39.8324809998986,7293,Mitthoefer Rd & Ellis Dr,10234,39.832481,-85.991224
-85.9911979994539,39.8309099995977,7294,Mitthoefer Rd & Montery Rd,10235,39.83091,-85.991198
-85.991177000329,39.8285520001525,7295,Mitthoefer Rd & Catalina Dr,10236,39.828552,-85.991177
-85.9911910003534,39.8269570001103,7296,Mitthoefer Rd & 38th St,10237,39.826957,-85.991191
-85.9911499994419,39.8259860003356,7297,Mitthoefer Rd & 38th St,10238,39.825986,-85.99115
-85.9910780001195,39.8226589998575,7298,Mitthoefer Rd & John Marshall Dr N,10239,39.822659,-85.991078
-85.9910339996291,39.8205840004167,7299,Mitthoefer Rd & Park Davis Dr,10240,39.820584,-85.991034
-85.9910220002294,39.8153919999451,7300,Mitthoefer Rd & Conveyor Dr,10241,39.815392,-85.991022
-86.0259100003143,39.825778999966,7301,38th St & Franklin Rd,10242,39.825779,-86.02591
-86.0225920003554,39.8258469997817,7302,38th St & Harvest Ave,10243,39.825847,-86.022592
-86.0205729997991,39.8258610000635,7303,38th St & Alsace Dr,10244,39.825861,-86.020573
-86.0165250005182,39.825900999812,7304,38th St & Dubarry Rd,10246,39.825901,-86.016525
-86.0125949999318,39.8259179996238,7305,38th St & Shopping Center Dr-Northeastwood,10247,39.825918,-86.012595
-86.0095330003913,39.8259570000798,7306,38th St & Post Rd,10248,39.825957,-86.009533
-86.0048690001538,39.8260289997,7307,38th St & Wittfield St,10250,39.826029,-86.004869
-86.0010740004179,39.8260750000713,7308,38th St & Parliament Ln,10251,39.826075,-86.001074
-85.9948180000441,39.8261730002149,7309,38th St & Tudor Park Dr,10253,39.826173,-85.994818
-85.99104500053,39.812654999734,7310,Mitthoefer Rd & 30th St,10254,39.812655,-85.991045
-85.9910419998478,39.818101999791,7311,Mitthoefer Rd & Ridgefield Dr,10257,39.818102,-85.991042
-86.0259290003926,39.8260200002243,7312,38th St & Franklin Rd - Walmart Market,10258,39.82602,-86.025929
-86.1530319995432,39.8248680003359,7313,38th St & Delaware St,10260,39.824868,-86.153032
-86.1500160000809,39.8249159996268,7314,38th St & New Jersey St,10261,39.824916,-86.150016
-86.1477699996004,39.8249449999492,7315,38th St & Park Ave,10262,39.824945,-86.14777
-86.1447980004593,39.8249979996081,7316,38th St & College Ave,10263,39.824998,-86.144798
-86.1428070002397,39.8250289996665,7317,38th St & Guilford Ave,10264,39.825029,-86.142807
-86.1400959995788,39.8253000003707,7318,38th St & Watson Rd,10265,39.8253,-86.140096
-86.1374159998029,39.8253440003089,7319,38th St & Coliseum Ave,10266,39.825344,-86.137416
-86.1350700004571,39.8253760003096,7320,38th St & Woodland Ave,10267,39.825376,-86.13507
-86.1334820003869,39.8253959997111,7321,38th St & Fall Creek Pkwy,10268,39.825396,-86.133482
-86.1580099994948,39.8249540004143,7322,38th St & Meridian St,10300,39.824954,-86.15801
-86.1673730000539,39.8249110000411,7323,38th St & Rookwood Ave,10301,39.824911,-86.167373
-86.1715670002718,39.8248989996526,7324,38th St & Clarendon Rd,10302,39.824899,-86.171567
-86.1817309995271,39.8247610003596,7325,38th St & Michigan Rd,10303,39.824761,-86.181731
-86.1839239997367,39.8247150002618,7326,38th St & Private Dr,10304,39.824715,-86.183924
-86.1980110000474,39.8246100000694,7327,38th St & Knollton Rd,10305,39.82461,-86.198011
-86.236347000024,39.8255819999315,7328,Lafayette Rd & 38th St,10306,39.825582,-86.236347
-86.2377279998237,39.8269280003776,7329,Lafayette Rd - 3950 N - Lafayette Sq,10307,39.826928,-86.237728
-86.2404790004466,39.8271749996159,7330,Georgetown Rd - 4000 N,10308,39.827175,-86.240479
-86.24028299986,39.8254280000865,7331,Georgetown Rd & 38th St,10309,39.825428,-86.240283
-86.2408590000164,39.8240740003253,7332,38th St & Georgetown Rd,10312,39.824074,-86.240859
-86.244661000581,39.8240469997728,7333,38th St & Private Dr,10313,39.824047,-86.244661
-86.2467799997411,39.8240420001406,7334,38th St & Gemco Ln,10314,39.824042,-86.24678
-86.2506779994345,39.8239890000602,7335,38th St & Private Dr,10315,39.823989,-86.250678
-86.2535689997274,39.8239470000076,7336,38th St - 5400 W,10316,39.823947,-86.253569
-86.2571639995636,39.8239099997636,7337,38th St & Moller Rd,10317,39.82391,-86.257164
-86.2606960003329,39.8238639995564,7338,38th St & Bennett Dr,10318,39.823864,-86.260696
-86.2627640005327,39.8237989998658,7339,38th St & Kiel Ave,10319,39.823799,-86.262764
-86.2644440004022,39.8237709999579,7340,38th St & Parkwood Ct,10320,39.823771,-86.264444
-86.2663729997296,39.8237139996871,7341,38th St & Lawndale Ave,10321,39.823714,-86.266373
-86.2824170003759,39.8234409995927,7342,38th St & Eagle Creek Pkwy,10322,39.823441,-86.282417
-86.2832289995081,39.8242659999474,7343,Eagle Creek Pkwy & Private Dr,10323,39.824266,-86.283229
-86.2833010000395,39.826423000416,7344,Eagle Creek Pkwy & Parkdale Pl,10324,39.826423,-86.283301
-86.2833170003426,39.8277960001496,7345,Eagle Creek Pkwy & Eagle Highlands Way,10325,39.827796,-86.283317
-86.2839430003403,39.8292720001504,7346,Eagle Creek Pkwy & Shore Terrace,10326,39.829272,-86.283943
-86.282791000577,39.8298790001727,7347,Shore Terrace - 6900 W,10327,39.829879,-86.282791
-86.2805250000017,39.8281400002154,7348,Eagle Highlands Way & Private Dr,10328,39.82814,-86.280525
-86.2834660003312,39.8276800001331,7349,Eagle Creek Pkwy & Eagle Highlands Way,10329,39.82768,-86.283466
-86.2834929996606,39.8263780001988,7350,Eagle Creek Pkwy & Private Dr,10330,39.826378,-86.283493
-86.2819489995431,39.8232600000945,7351,38th St & Shore Dr,10331,39.82326,-86.281949
-86.2692040003527,39.8234250000992,7352,38th St & High School Rd,10332,39.823425,-86.269204
-86.2661359994578,39.8235039996733,7353,38th St & Lawndale Ave,10333,39.823504,-86.266136
-86.2619970000651,39.8236159997189,7354,38th St & Kiel Ave,10334,39.823616,-86.261997
-86.2591200002352,39.8236749996853,7355,38th St - 5600 W,10335,39.823675,-86.25912
-86.2552509994712,39.82372999974,7356,38th St & Moller Rd,10336,39.82373,-86.255251
-86.2499000003605,39.8237960003262,7357,38th St & Kevin Way,10337,39.823796,-86.2499
-86.2468419999302,39.8238410003278,7358,38th St & Gemco Ln,10338,39.823841,-86.246842
-86.2391129996959,39.8238849996381,7359,38th St & Georgetown Rd,10339,39.823885,-86.239113
-86.233044999694,39.8219819996411,7360,Lafayette Rd & 37th St,10340,39.821982,-86.233045
-86.2313249995692,39.8202090002286,7361,Lafayette Rd - 3574 N,10341,39.820209,-86.231325
-86.2296060000425,39.8184629997531,7362,Lafayette Rd - 3500 N,10342,39.818463,-86.229606
-86.2311510003095,39.8202179997632,7363,Lafayette Rd - 3600 N,10349,39.820218,-86.231151
